updated_time,Load_stage,Industry_Second_A1,Industry_Second_A2,Industry_Second_A3,Industry_Second_B1,Industry_Second_B2,Industry_Second_B3,Industry_Second_C1,Industry_Second_C2,Industry_Second_C3
2023-03-01 0:00,0,92.8,87.3,86.4,95.9,92.1,90.4,95.4,90.7,89.6
2023-03-01 1:00,0,92.8,87.3,86.4,95.9,92.1,90.4,95.4,90.7,89.6
2023-03-01 2:00,0,92.8,87.3,86.4,95.9,92.1,90.4,95.4,90.7,89.6
2023-03-01 3:00,0,92.8,87.3,86.4,95.9,92.1,90.4,95.4,90.7,89.6
2023-03-01 4:00,0,92.8,87.3,86.4,95.9,92.1,90.4,95.4,90.7,89.6
2023-03-01 5:00,0,92.8,87.3,86.4,95.9,92.1,90.4,95.4,90.7,89.6
2023-03-01 6:00,0,92.8,87.3,86.4,95.9,92.1,90.4,95.4,90.7,89.6
2023-03-01 7:00,0,92.8,87.3,86.4,95.9,92.1,90.4,95.4,90.7,89.6
2023-03-01 8:00,1,115.3,109.8,108.5,118.2,114.4,112.8,118.3,113.6,112.5
2023-03-01 9:00,1,115.3,109.8,108.5,118.2,114.4,112.8,118.3,113.6,112.5
2023-03-01 10:00,1,115.3,109.8,108.5,118.2,114.4,112.8,118.3,113.6,112.5
2023-03-01 11:00,2,146,140.5,132.2,148.5,144.7,143.1,148.7,144,142.9
2023-03-01 12:00,1,115.3,109.8,108.5,118.2,114.4,112.8,118.3,113.6,112.5
2023-03-01 13:00,2,146,140.5,132.2,148.5,144.7,143.1,148.7,144,142.9
2023-03-01 14:00,2,146,140.5,132.2,148.5,144.7,143.1,148.7,144,142.9
2023-03-01 15:00,2,146,140.5,132.2,148.5,144.7,143.1,148.7,144,142.9
2023-03-01 16:00,2,146,140.5,132.2,148.5,144.7,143.1,148.7,144,142.9
2023-03-01 17:00,2,146,140.5,132.2,148.5,144.7,143.1,148.7,144,142.9
2023-03-01 18:00,1,115.3,109.8,108.5,118.2,114.4,112.8,118.3,113.6,112.5
2023-03-01 19:00,1,115.3,109.8,108.5,118.2,114.4,112.8,118.3,113.6,112.5
2023-03-01 20:00,1,115.3,109.8,108.5,118.2,114.4,112.8,118.3,113.6,112.5
2023-03-01 21:00,1,115.3,109.8,108.5,118.2,114.4,112.8,118.3,113.6,112.5
2023-03-01 22:00,0,92.8,87.3,86.4,95.9,92.1,90.4,95.4,90.7,89.6
2023-03-01 23:00,0,92.8,87.3,86.4,95.9,92.1,90.4,95.4,90.7,89.6
